Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #
DEBIT,03/31/2017,"CCSF MTA IPS PRKNG M SAN FRANCISCO CA        03/30",-0.77,DEBIT_CARD,4867.55,,
DEBIT,03/31/2017,"SQ *TPUMPS INC San Francisco CA              03/30",-6.50,DEBIT_CARD,4868.32,,
DEBIT,03/31/2017,"CCSF MTA IPS PRKNG M SAN FRANCISCO CA        03/30",-0.75,DEBIT_CARD,4874.82,,
DEBIT,03/31/2017,"CHEVRON 0090319 VALLEJO CA                   03/30",-20.57,DEBIT_CARD,4875.57,,
CREDIT,03/31/2017,"U.C. SAN DIEGO   UCSD APACH                 PPD ID: 3956006144",4151.57,ACH_CREDIT,4896.14,,
DEBIT,03/30/2017,"MELS DRIVE-IN 5 SAN FRANCISCO CA             03/30",-8.44,DEBIT_CARD,744.57,,
DEBIT,03/30/2017,"CHEVRON 0090319 VALLEJO CA                   03/29",-31.63,DEBIT_CARD,753.01,,
DEBIT,03/29/2017,"THE PIE HOLE LOS ANGELES CA                  03/27",-7.34,DEBIT_CARD,784.64,,
DEBIT,03/28/2017,"7-ELEVEN SAN FRANCISCO CA                    03/28",-1.83,DEBIT_CARD,791.98,,
DEBIT,03/27/2017,"COSTCO WHSE #0146 LIVERMORE CA       577846  03/27",-4.91,DEBIT_CARD,793.81,,
DEBIT,03/27/2017,"NIJIYA MARKET #38 LOS ANGELES CA             03/26",-25.26,DEBIT_CARD,798.72,,
DEBIT,03/27/2017,"7 LEAVES CAFE IRVINE CA                      03/26",-15.00,DEBIT_CARD,823.98,,
DEBIT,03/27/2017,"BURGER LOUNGE 1001 LA JOLLA CA               03/25",-8.61,DEBIT_CARD,838.98,,
DEBIT,03/27/2017,"UCSD PARKING FLEX LA JOLLA CA                03/25",-4.00,DEBIT_CARD,847.59,,
DEBIT,03/27/2017,"MCDONALD'S F11181 SAN DIEGO CA               03/24",-8.60,DEBIT_CARD,851.59,,
DEBIT,03/27/2017,"UCSD BOOKSTORE LA JOLLA CA                   03/24",-1.07,DEBIT_CARD,860.19,,
DEBIT,03/27/2017,"TAPIOCA EXPRESS SAN DIEGO CA                 03/24",-5.78,DEBIT_CARD,861.26,,
DEBIT,03/27/2017,"Amazon.com AMZN.COM/BILL WA                  03/25",-21.66,DEBIT_CARD,867.04,,
DEBIT,03/27/2017,"YOGURT WORLD MIRA MESA SAN DIEGO CA          03/24",-4.26,DEBIT_CARD,888.70,,
DEBIT,03/24/2017,"RALPHS 8657 VIL LA JOL LA JOLLA CA   654357  03/24",-1.85,DEBIT_CARD,892.96,,
DEBIT,03/24/2017,"UCSD BOOKSTORE LA JOLLA CA                   03/23",-1.69,DEBIT_CARD,894.81,,
DEBIT,03/24/2017,"UCSD BOOKSTORE LA JOLLA CA                   03/23",-2.30,DEBIT_CARD,896.50,,
DEBIT,03/24/2017,"BOMBAY COAST LA JOLLA CA                     03/22",-17.13,DEBIT_CARD,898.80,,
DEBIT,03/24/2017,"BURGER KING #16576 LA JOLLA CA               03/23",-2.90,DEBIT_CARD,915.93,,
DEBIT,03/23/2017,"UCSD BOOKSTORE LA JOLLA CA                   03/22",-3.53,DEBIT_CARD,918.83,,
DEBIT,03/22/2017,"TAPIOCA EXPRESS SAN DIEGO CA                 03/20",-4.05,DEBIT_CARD,922.36,,
CREDIT,03/22/2017,"U.C. SAN DIEGO   UCSD PAYRL                 PPD ID: 1956006144",367.65,ACH_CREDIT,926.41,,
DEBIT,03/21/2017,"SANTORINI GREEK ISLAND LA JOLLA CA           03/20",-8.61,DEBIT_CARD,558.76,,
DEBIT,03/21/2017,"UCSD STARBUCKS PRICE CT LA JOLLA CA          03/20",-3.73,DEBIT_CARD,567.37,,
DEBIT,03/20/2017,"JAMBA JUICE #16 LA JOLLA CA                  03/18",-16.50,DEBIT_CARD,571.10,,
DEBIT,03/20/2017,"SAN DIEGO LIVING ROOM I LA JOLLA CA          03/18",-5.99,DEBIT_CARD,587.60,,
DEBIT,03/20/2017,"SUBWAY        00177097 LA JOLLA CA           03/18",-3.50,DEBIT_CARD,593.59,,
DEBIT,03/20/2017,"BURGER KING #16576 LA JOLLA CA               03/18",-3.00,DEBIT_CARD,597.09,,
DEBIT,03/20/2017,"GOOGLE *Domains g.co/payhelp# CA             03/17",-12.00,DEBIT_CARD,600.09,,
DEBIT,03/17/2017,"JAMBA JUICE #371 LA JOLLA CA                 03/14",-6.50,DEBIT_CARD,612.09,,
DEBIT,03/15/2017,"RALPHS    8657 VIL LA LA JOLLA CA            03/14",-18.68,DEBIT_CARD,618.59,,
DEBIT,03/15/2017,"UCSD BOOKSTORE LA JOLLA CA                   03/14",-1.07,DEBIT_CARD,637.27,,
DEBIT,03/15/2017,"SUBWAY        00177097 LA JOLLA CA           03/14",-11.04,DEBIT_CARD,638.34,,
DEBIT,03/15/2017,"UCSD BOOKSTORE LA JOLLA CA                   03/14",-5.38,DEBIT_CARD,649.38,,
DEBIT,03/14/2017,"UCSD BOOKSTORE LA JOLLA CA                   03/13",-5.28,DEBIT_CARD,654.76,,
DEBIT,03/13/2017,"KUNG FU TEA - SAN DIEGO SAN DIEGO CA         03/11",-5.40,DEBIT_CARD,660.04,,
DEBIT,03/13/2017,"CLAIREMNT TOWNSQ THEATE SAN DIEGO CA         03/11",-8.75,DEBIT_CARD,665.44,,
DEBIT,03/13/2017,"TAPIOCA EXPRESS SAN DIEGO CA                 03/10",-4.50,DEBIT_CARD,674.19,,
DEBIT,03/13/2017,"BURGER KING #16576 LA JOLLA CA               03/10",-3.00,DEBIT_CARD,678.69,,
DEBIT,03/08/2017,"RALPHS    8657 VIL LA LA JOLLA CA            03/07",-37.21,DEBIT_CARD,681.69,,
DEBIT,03/08/2017,"JAMBA JUICE #371 LA JOLLA CA                 03/07",-6.50,DEBIT_CARD,718.90,,
DEBIT,03/08/2017,"BURGER KING #16576 LA JOLLA CA               03/07",-1.50,DEBIT_CARD,725.40,,
CREDIT,03/08/2017,"U.C. SAN DIEGO   UCSD PAYRL                 PPD ID: 1956006144",637.08,ACH_CREDIT,726.90,,
DEBIT,03/07/2017,"TAPIOCA EXPRESS SAN DIEGO CA                 03/05",-4.50,DEBIT_CARD,89.82,,
DEBIT,03/07/2017,"TAPIOCA EXPRESS SAN DIEGO CA                 03/05",-11.19,DEBIT_CARD,94.32,,
DEBIT,03/06/2017,"AmazonPrime Membersh amzn.com/prme WA        03/05",-53.10,DEBIT_CARD,105.51,,
DEBIT,03/06/2017,"La Scala         8888004797 N7743922        WEB ID: 1262437777",-600.00,ACH_DEBIT,158.61,,
DEBIT,03/06/2017,"UCSD BOOKSTORE LA JOLLA CA                   03/05",-7.53,DEBIT_CARD,758.61,,
DEBIT,03/06/2017,"JAMBA JUICE #371 LA JOLLA CA                 03/05",-6.50,DEBIT_CARD,766.14,,
DEBIT,03/06/2017,"JAMBA JUICE #371 LA JOLLA CA                 03/03",-6.50,DEBIT_CARD,772.64,,
DEBIT,03/06/2017,"JAMBA JUICE #371 LA JOLLA CA                 03/03",-6.50,DEBIT_CARD,779.14,,
DEBIT,03/06/2017,"TAPIOCA EXPRESS SAN DIEGO CA                 03/02",-8.91,DEBIT_CARD,785.64,,
CREDIT,03/06/2017,"Online Transfer from CHK ...5521 transaction#: 6056344894",100.00,ACCT_XFER,794.55,,
DEBIT,03/02/2017,"YOGURT WORLD MIRA MESA SAN DIEGO CA          03/01",-3.27,DEBIT_CARD,694.55,,
DEBIT,03/02/2017,"TACO VILLA LA JOLLA CA                       03/02",-4.62,DEBIT_CARD,697.82,,
DEBIT,03/02/2017,"TRADER JOE'S #020  QPS LAJOLLA CA            03/01",-1.99,DEBIT_CARD,702.44,,
DEBIT,03/02/2017,"BURGER KING #16576 LA JOLLA CA               03/01",-3.97,DEBIT_CARD,704.43,,
DEBIT,03/01/2017,"MARSHALLS 8567 VILLA L LA JOLLA CA           03/01",-16.15,DEBIT_CARD,708.40,,
DEBIT,02/28/2017,"SANTORINI GREEK ISLAND LA JOLLA CA           02/28",-8.61,DEBIT_CARD,724.55,,
DEBIT,02/28/2017,"UCSD-BOOKSTORES LA JOLLA CA                  02/27",-14.01,DEBIT_CARD,733.16,,
DEBIT,02/28/2017,"PAYPAL *LYFT RIDE MON 402-935-7733 CA        02/27",-5.06,DEBIT_CARD,747.17,,
CREDIT,02/28/2017,"Online Transfer from CHK ...5521 transaction#: 6038735754",700.00,ACCT_XFER,752.23,,
DEBIT,02/27/2017,"UCSD TRITON SVCES 858-822-1255 CA            02/27",-50.00,DEBIT_CARD,52.23,,
DEBIT,02/27/2017,"BURGER KING #16576 LA JOLLA CA               02/26",-3.00,DEBIT_CARD,102.23,,
DEBIT,02/27/2017,"TAPIOCA EXPRESS SAN DIEGO CA                 02/24",-4.50,DEBIT_CARD,105.23,,
DEBIT,02/27/2017,"TACO VILLA LA JOLLA CA                       02/25",-6.67,DEBIT_CARD,109.73,,
DEBIT,02/27/2017,"UBER TECHNOLOGIES INC 8005928996 CA          02/24",-4.99,DEBIT_CARD,116.40,,
DEBIT,02/24/2017,"Online Transfer to CHK ...5521 transaction#: 6031954065 02/24",-300.00,ACCT_XFER,121.39,,
DEBIT,02/23/2017,"PANDA EXPRESS #786 LA JOLLA CA               02/22",-7.97,DEBIT_CARD,421.39,,
CREDIT,02/22/2017,"ATM CASH DEPOSIT 02/22 9700 GILMAN DR LA JOLLA CA",200.00,ATM,429.36,,
DEBIT,02/21/2017,"BELINDAS MEXICAN FOO SPRING VALLEY CA        02/21",-7.25,DEBIT_CARD,229.36,,
DEBIT,02/21/2017,"CONVOY TOFU HOUSE A SAN DIEGO CA             02/20",-86.78,DEBIT_CARD,236.61,,
DEBIT,02/21/2017,"USA*SNACK SODA VENDING VISTA CA              02/20",-1.70,DEBIT_CARD,323.39,,
DEBIT,02/21/2017,"TAPIOCA EXPRESS SAN DIEGO CA                 02/18",-5.25,DEBIT_CARD,325.09,,
DEBIT,02/21/2017,"SANTORINI GREEK ISLAND LA JOLLA CA           02/18",-5.92,DEBIT_CARD,330.34,,
DEBIT,02/16/2017,"IN-N-OUT BURGER #69 SAN DIEGO CA             02/15",-2.48,DEBIT_CARD,336.26,,
DEBIT,02/16/2017,"IN-N-OUT BURGER #69 SAN DIEGO CA             02/15",-10.61,DEBIT_CARD,338.74,,
DEBIT,02/16/2017,"Amazon.com AMZN.COM/BILL WA                  02/16",-11.64,DEBIT_CARD,349.35,,
DEBIT,02/16/2017,"BURGER KING #16576 LA JOLLA CA               02/15",-1.50,DEBIT_CARD,360.99,,
DEBIT,02/16/2017,"BURGER KING #16576 LA JOLLA CA               02/15",-1.50,DEBIT_CARD,362.49,,
DEBIT,02/15/2017,"BURGER KING #16576 LA JOLLA CA               02/14",-1.50,DEBIT_CARD,363.99,,
DEBIT,02/15/2017,"TAPIOCA EXPRESS SAN DIEGO CA                 02/13",-5.78,DEBIT_CARD,365.49,,
DEBIT,02/13/2017,"VONS STORE        2012 SAN DIEGO CA  039713  02/12",-0.64,DEBIT_CARD,371.27,,
DEBIT,02/13/2017,"RALPHS    8657 VIL LA LA JOLLA CA            02/12",-7.95,DEBIT_CARD,371.91,,
DEBIT,02/13/2017,"Online Transfer to CHK ...5521 transaction#: 6003180899 02/13",-2.00,ACCT_XFER,379.86,,
DEBIT,02/13/2017,"SUBWAY        00177097 LA JOLLA CA           02/12",-2.68,DEBIT_CARD,381.86,,
DEBIT,02/13/2017,"99 RANCH #1016 7330 CL SAN DIEGO CA  447799  02/11",-19.57,DEBIT_CARD,384.54,,
DEBIT,02/13/2017,"BOMBAY COAST LA JOLLA CA                     02/10",-8.57,DEBIT_CARD,404.11,,
DEBIT,02/13/2017,"BURGER KING #16576 LA JOLLA CA               02/10",-1.50,DEBIT_CARD,412.68,,
DEBIT,02/09/2017,"Online Transfer to CHK ...5521 transaction#: 5996178864 02/09",-3626.00,ACCT_XFER,414.18,,
CREDIT,02/09/2017,"U.C. SAN DIEGO   UCSD APACH                 PPD ID: 3956006144",3628.00,ACH_CREDIT,4040.18,,
DEBIT,02/08/2017,"UCSD-BOOKSTORES LA JOLLA CA                  02/07",-3.36,DEBIT_CARD,412.18,,
CREDIT,02/08/2017,"U.C. SAN DIEGO   UCSD PAYRL                 PPD ID: 1956006144",306.06,ACH_CREDIT,415.54,,
DEBIT,02/07/2017,"La Scala         8888004797 N7597000        WEB ID: 1262437777",-600.00,ACH_DEBIT,109.48,,
DEBIT,02/07/2017,"AMAZON MKTPLACE PMTS AMZN.COM/BILL WA        02/06",-30.23,DEBIT_CARD,709.48,,
DEBIT,02/07/2017,"PAYPAL *ZHANG TAO 402-935-7733 CA            02/05",-3.84,DEBIT_CARD,739.71,,
DEBIT,02/07/2017,"TAPIOCA EXPRESS SAN DIEGO CA                 02/05",-3.83,DEBIT_CARD,743.55,,
CREDIT,02/07/2017,"Online Transfer from CHK ...5521 transaction#: 5991591066",100.00,ACCT_XFER,747.38,,
DEBIT,02/06/2017,"LEMONGRASS ASIAN PLATE LA JOLLA CA           02/05",-3.23,DEBIT_CARD,647.38,,
DEBIT,02/06/2017,"ISLANDS REST 018 LA JOLLA CA                 02/05",-13.00,DEBIT_CARD,650.61,,
DEBIT,02/06/2017,"MANNA BBQ-CONVOY SAN DIEGO CA                02/04",-140.00,DEBIT_CARD,663.61,,
DEBIT,02/06/2017,"VALLARTA EXPRESS SAN DIEGO CA                02/04",-9.86,DEBIT_CARD,803.61,,
CREDIT,02/06/2017,"Online Transfer from CHK ...5521 transaction#: 5986878051",100.00,ACCT_XFER,813.47,,
DEBIT,01/31/2017,"Amazon.com AMZN.COM/BILL WA                  01/31",-21.54,DEBIT_CARD,713.47,,
DEBIT,01/31/2017,"SANTORINI GREEK ISLAND LA JOLLA CA           01/30",-8.63,DEBIT_CARD,735.01,,
DEBIT,01/31/2017,"ROBERT Y. TAKANO, DDS SAN DIEGO CA           01/30",-39.40,DEBIT_CARD,743.64,,
DEBIT,01/31/2017,"VENMO 855-812-4430 NY                        01/30",-700.00,DEBIT_CARD,783.04,,
DEBIT,01/30/2017,"UCSD-BOOKSTORES LA JOLLA CA                  01/29",-1.07,DEBIT_CARD,1483.04,,
DEBIT,01/30/2017,"RALPHS    8657 VIL LA LA JOLLA CA            01/29",-11.11,DEBIT_CARD,1484.11,,
DEBIT,01/30/2017,"Amazon.com AMZN.COM/BILL WA                  01/30",-8.61,DEBIT_CARD,1495.22,,
DEBIT,01/30/2017,"BING HAUS SAN DIEGO CA                       01/29",-6.73,DEBIT_CARD,1503.83,,
CREDIT,01/30/2017,"Online Transfer from CHK ...5521 transaction#: 5969157910",1300.00,ACCT_XFER,1510.56,,
DEBIT,01/26/2017,"UCSD HDH OVT DINING LA JOLLA CA              01/25",-8.50,DEBIT_CARD,210.56,,
DEBIT,01/25/2017,"RALPHS    8657 VIL LA LA JOLLA CA            01/25",-18.40,DEBIT_CARD,219.06,,
DEBIT,01/25/2017,"UCSD-BOOKSTORES LA JOLLA CA                  01/24",-1.07,DEBIT_CARD,237.46,,
DEBIT,01/25/2017,"Amazon.com AMZN.COM/BILL WA                  01/25",-7.40,DEBIT_CARD,238.53,,
CREDIT,01/25/2017,"U.C. SAN DIEGO   UCSD PAYRL                 PPD ID: 1956006144",174.98,ACH_CREDIT,245.93,,
DEBIT,01/24/2017,"TAPIOCA EXPRESS SAN DIEGO CA                 01/22",-4.75,DEBIT_CARD,70.95,,
DEBIT,01/23/2017,"Online Transfer to CHK ...5521 transaction#: 5954760129 01/23",-46.56,ACCT_XFER,75.70,,
DEBIT,01/23/2017,"SANTORINI GREEK ISLAND LA JOLLA CA           01/22",-8.63,DEBIT_CARD,122.26,,
DEBIT,01/23/2017,"BURGER KING #16576 LA JOLLA CA               01/20",-3.86,DEBIT_CARD,130.89,,
DEBIT,01/19/2017,"BURGER KING #16576 LA JOLLA CA               01/18",-3.86,DEBIT_CARD,134.75,,
DEBIT,01/17/2017,"EXTRAORDINARY DESSERTS SAN DIEGO CA          01/16",-12.16,DEBIT_CARD,138.61,,
DEBIT,01/17/2017,"Online Transfer to CHK ...5521 transaction#: 5937781021 01/17",-2116.00,ACCT_XFER,150.77,,
DEBIT,01/17/2017,"Amazon.com AMZN.COM/BILL WA                  01/15",-3.98,DEBIT_CARD,2266.77,,
DEBIT,01/17/2017,"AMAZON MKTPLACE PMTS AMZN.COM/BILL WA        01/14",-8.56,DEBIT_CARD,2270.75,,
DEBIT,01/17/2017,"AMAZON MKTPLACE PMTS AMZN.COM/BILL WA        01/14",-23.78,DEBIT_CARD,2279.31,,
DEBIT,01/17/2017,"LUCHA LIBRE SAN DIEGO CA                     01/13",-7.81,DEBIT_CARD,2303.09,,
DEBIT,01/13/2017,"RALPHS    8657 VIL LA LA JOLLA CA            01/13",-12.69,DEBIT_CARD,2310.90,,
DEBIT,01/12/2017,"RALPHS    8657 VIL LA LA JOLLA CA            01/12",-40.36,DEBIT_CARD,2323.59,,
DEBIT,01/11/2017,"UCSD-BOOKSTORES LA JOLLA CA                  01/10",-4.82,DEBIT_CARD,2363.95,,
DEBIT,01/10/2017,"UCSD PARKING FLEX LA JOLLA CA                01/10",-6.00,DEBIT_CARD,2368.77,,
DEBIT,01/09/2017,"99 RANCH #1016 7330 CL SAN DIEGO CA  744091  01/09",-35.03,DEBIT_CARD,2374.77,,
DEBIT,01/09/2017,"99 RANCH #1016 7330 CL SAN DIEGO CA  925431  01/09",-6.35,DEBIT_CARD,2409.80,,
DEBIT,01/09/2017,"CHIPOTLE 1420 LEBEC CA                       01/07",-8.26,DEBIT_CARD,2416.15,,
DEBIT,01/09/2017,"VENMO 855-812-4430 NY                        01/08",-25.00,DEBIT_CARD,2424.41,,
DEBIT,01/09/2017,"STARBUCKS STORE 06728 CONCORD CA             01/07",-5.25,DEBIT_CARD,2449.41,,
DEBIT,01/09/2017,"IN-N-OUT BURGER #274 PLEASANT HILL CA        01/07",-25.55,DEBIT_CARD,2454.66,,
DEBIT,01/09/2017,"WALGREENS #11365 AMERICAN CANY CA            01/06",-9.98,DEBIT_CARD,2480.21,,
DEBIT,01/09/2017,"VENMO 855-812-4430 NY                        01/06",-18.20,DEBIT_CARD,2490.19,,
CREDIT,01/06/2017,"U.C. SAN DIEGO   UCSD APACH                 PPD ID: 3956006144",2400.77,ACH_CREDIT,2508.39,,
DEBIT,01/04/2017,"La Scala         8888004797 N7396413        WEB ID: 1262437777",-600.00,ACH_DEBIT,107.62,,
DEBIT,01/04/2017,"VENMO 855-812-4430 NY                        01/03",-3.00,DEBIT_CARD,707.62,,
DEBIT,01/04/2017,"VENMO 855-812-4430 NY                        01/03",-3.00,DEBIT_CARD,710.62,,
DEBIT,01/03/2017,"NATION'S GIANT HAM BENICIA CA                12/31",-6.08,DEBIT_CARD,713.62,,
DEBIT,01/03/2017,"CHEVRON 0090319 VALLEJO CA                   12/31",-23.50,DEBIT_CARD,719.70,,
DEBIT,01/03/2017,"SUPER KYO-PO PL SANTA CLARA CA               12/30",-6.59,DEBIT_CARD,743.20,,
DEBIT,01/03/2017,"Q POT SAN JOSE CA                            12/30",-72.00,DEBIT_CARD,749.79,,
CREDIT,01/03/2017,"VENMO            CASHOUT                    PPD ID: 5264681992",57.40,ACH_CREDIT,821.79,,
CREDIT,01/03/2017,"ATM CASH DEPOSIT 01/02 972 ADMIRAL CALLAGHAN LN VALLEJO CA",330.00,ATM,764.39,,
DEBIT,12/30/2016,"SAFEWAY  FUEL  1883 AMERICAN CANY CA 018417  12/30",-15.77,DEBIT_CARD,434.39,,
DEBIT,12/30/2016,"SUPER CUE CAFE SAN FRANCISCO CA              12/29",-3.50,DEBIT_CARD,450.16,,
DEBIT,12/29/2016,"YO SUSHI VALLEJO CA                          12/27",-4.30,DEBIT_CARD,453.66,,
CREDIT,12/29/2016,"VENMO            CASHOUT                    PPD ID: 5264681992",141.08,ACH_CREDIT,457.96,,
DEBIT,12/28/2016,"99 RANCH #1781 3288 PI RICHMOND CA   141519  12/28",-5.97,DEBIT_CARD,316.88,,
DEBIT,12/28/2016,"SAFEWAY  FUEL  1883 AMERICAN CANY CA 997087  12/28",-21.75,DEBIT_CARD,322.85,,
CREDIT,12/28/2016,"U.C. SAN DIEGO   UCSD PAYRL                 PPD ID: 1956006144",160.80,ACH_CREDIT,344.60,,
CREDIT,12/27/2016,"ATM CASH DEPOSIT 12/27 102 ROBLES WAY VALLEJO CA",140.00,ATM,183.80,,
DEBIT,12/23/2016,"RALEY'S #343 BENICIA CA                      12/22",-3.48,DEBIT_CARD,43.80,,
DEBIT,12/23/2016,"RALEY'S #343 BENICIA CA                      12/22",-2.67,DEBIT_CARD,47.28,,
DEBIT,12/22/2016,"SAFEWAY  FUEL  1883 AMERICAN CANY CA 155869  12/22",-22.25,DEBIT_CARD,49.95,,
DEBIT,12/22/2016,"VENMO 855-812-4430 NY                        12/21",-100.00,DEBIT_CARD,72.20,,
DEBIT,12/21/2016,"CENTURY THEATRES 463 PLEASANT HILL CA        12/21",-5.75,DEBIT_CARD,172.20,,
DEBIT,12/21/2016,"IN-N-OUT BURGER #274 PLEASANT HILL CA        12/20",-5.97,DEBIT_CARD,177.95,,
DEBIT,12/20/2016,"CHEVRON 0090319 VALLEJO CA                   12/19",-32.02,DEBIT_CARD,183.92,,
DEBIT,12/20/2016,"CHIPOTLE 0182 FAIRFIELD CA                   12/19",-7.28,DEBIT_CARD,215.94,,
DEBIT,12/19/2016,"SAFEWAY  STORE  0774 BENICIA CA      835819  12/19",-3.85,DEBIT_CARD,223.22,,
DEBIT,12/19/2016,"SEARS ROEBUCK   1159 FAIRFIELD CA            12/19",-5.42,DEBIT_CARD,227.07,,
DEBIT,12/19/2016,"CHEVRON 0090319 VALLEJO CA                   12/17",-18.51,DEBIT_CARD,232.49,,
DEBIT,12/19/2016,"COSECHA CAFE OAKLAND CA                      12/17",-15.07,DEBIT_CARD,251.00,,
DEBIT,12/19/2016,"PACIFIC RENAISSANCE GA OAKLAND CA            12/16",-5.00,DEBIT_CARD,266.07,,
DEBIT,12/19/2016,"T4 CJ OAKLAND CA                             12/17",-9.25,DEBIT_CARD,271.07,,
DEBIT,12/19/2016,"VENMO 855-812-4430 NY                        12/17",-13.03,DEBIT_CARD,280.32,,
DEBIT,12/19/2016,"CHEVRON 0090319 VALLEJO CA                   12/16",-17.18,DEBIT_CARD,293.35,,
DEBIT,12/16/2016,"ROUND ONE BOWLING CONCORD CA                 12/14",-4.00,DEBIT_CARD,310.53,,
DEBIT,12/15/2016,"BLAZE PIZZA #1151 CONCORD CA                 12/14",-8.67,DEBIT_CARD,314.53,,
DEBIT,12/15/2016,"SQ *KAMAN LOI pleasant hill CA               12/14",-4.88,DEBIT_CARD,323.20,,
DEBIT,12/15/2016,"BENICIA GRILL 1 BENICIA CA                   12/14",-10.72,DEBIT_CARD,328.08,,
DEBIT,12/14/2016,"IN-N-OUT BURGER #274 PLEASANT HILL CA        12/14",-4.12,DEBIT_CARD,338.80,,
DEBIT,12/14/2016,"QUICKLY VALLEJO CA                           12/14",-3.79,DEBIT_CARD,342.92,,
DEBIT,12/14/2016,"CHEVRON 0090319 VALLEJO CA                   12/13",-27.69,DEBIT_CARD,346.71,,
CREDIT,12/14/2016,"U.C. SAN DIEGO   UCSD PAYRL                 PPD ID: 1956006144",280.48,ACH_CREDIT,374.40,,
DEBIT,12/13/2016,"WENDY'S #1 VALLEJO CA                        12/12",-5.83,DEBIT_CARD,93.92,,
DEBIT,12/12/2016,"SAFEWAY STORE  1883 AMERICAN CANY CA 134575  12/12",-15.02,DEBIT_CARD,99.75,,
DEBIT,12/12/2016,"CHEVRON 0090319 VALLEJO CA                   12/11",-30.50,DEBIT_CARD,114.77,,
DEBIT,12/12/2016,"HUDSONNEWS  ST1146 SAN DIEGO CA              12/10",-1.68,DEBIT_CARD,145.27,,
DEBIT,12/12/2016,"VENMO 855-812-4430 NY                        12/11",-10.00,DEBIT_CARD,146.95,,
DEBIT,12/12/2016,"5GUYS 0553 QSR SAN DIEGO CA                  12/09",-5.71,DEBIT_CARD,156.95,,
DEBIT,12/12/2016,"TAPIOCA EXPRESS SAN DIEGO CA                 12/09",-3.25,DEBIT_CARD,162.66,,
CREDIT,12/12/2016,"Online Transfer from CHK ...5521 transaction#: 5859755790",100.00,ACCT_XFER,165.91,,
DSLIP,12/12/2016,"REMOTE ONLINE DEPOSIT #          1",28.30,CHECK_DEPOSIT,65.91,1,
DEBIT,12/09/2016,"SANTORINI GREEK ISLAND LA JOLLA CA           12/09",-8.63,DEBIT_CARD,37.61,,
DEBIT,12/09/2016,"UCSD-BOOKSTORES LA JOLLA CA                  12/08",-1.60,DEBIT_CARD,46.24,,
DEBIT,12/09/2016,"TAPIOCA EXPRESS SAN DIEGO CA                 12/07",-5.78,DEBIT_CARD,47.84,,
DEBIT,12/08/2016,"MCDONALD'S F11181 SAN DIEGO CA               12/06",-3.23,DEBIT_CARD,53.62,,
DEBIT,12/08/2016,"TAPIOCA EXPRESS SAN DIEGO CA                 12/06",-5.78,DEBIT_CARD,56.85,,
DEBIT,12/07/2016,"DOMINO'S 8407 LA JOLLA CA                    12/06",-7.94,DEBIT_CARD,62.63,,
DEBIT,12/07/2016,"SUBWAY        00177097 LA JOLLA CA           12/07",-4.86,DEBIT_CARD,70.57,,
DEBIT,12/05/2016,"La Scala         8888004797 N7253673        WEB ID: 1262437777",-540.00,ACH_DEBIT,75.43,,
DEBIT,12/05/2016,"RALPHS    8657 VIL LA LA JOLLA CA            12/05",-4.00,DEBIT_CARD,615.43,,
DEBIT,12/05/2016,"MI TEA EXPRESS SAN DIEGO CA                  12/04",-4.30,DEBIT_CARD,619.43,,
DEBIT,12/05/2016,"VENMO 855-812-4430 NY                        12/04",-20.00,DEBIT_CARD,623.73,,
DEBIT,12/05/2016,"UCSD-BOOKSTORES LA JOLLA CA                  12/03",-1.99,DEBIT_CARD,643.73,,
DEBIT,12/05/2016,"UCSD-BOOKSTORES LA JOLLA CA                  12/02",-1.49,DEBIT_CARD,645.72,,
DEBIT,12/05/2016,"UCSD-BOOKSTORES LA JOLLA CA                  12/02",-0.53,DEBIT_CARD,647.21,,
DEBIT,12/05/2016,"UCSD-BOOKSTORES LA JOLLA CA                  12/02",-1.07,DEBIT_CARD,647.74,,
DEBIT,12/05/2016,"VENMO 855-812-4430 NY                        12/02",-9.75,DEBIT_CARD,648.81,,
DEBIT,12/05/2016,"VENMO 855-812-4430 NY                        12/02",-13.75,DEBIT_CARD,658.56,,
DEBIT,12/05/2016,"BURGER KING #16576 LA JOLLA CA               12/02",-10.80,DEBIT_CARD,672.31,,
CREDIT,12/05/2016,"Online Transfer from CHK ...5521 transaction#: 5843336182",100.00,ACCT_XFER,683.11,,
DEBIT,12/02/2016,"AMAZON PICKUP POINTS 877-345-0975 WA         12/01",-10.79,DEBIT_CARD,583.11,,
DEBIT,11/28/2016,"99 RANCH #1016 SAN DIEGO CA                  11/27",-6.01,DEBIT_CARD,593.90,,
DEBIT,11/28/2016,"ZION MARKET - SD SAN DIEGO CA                11/27",-1.49,DEBIT_CARD,599.91,,
DEBIT,11/28/2016,"LOS PRIMOS - 23 SAN DIEGO CA                 11/26",-3.24,DEBIT_CARD,601.40,,
DEBIT,11/25/2016,"ROOSTERTEETH.COM ROOSTERTEETH. TX            11/23",-15.99,DEBIT_CARD,604.64,,
DEBIT,11/25/2016,"VONS STORE        2012 SAN DIEGO CA  749261  11/25",-0.99,DEBIT_CARD,620.63,,
DEBIT,11/25/2016,"H&M SAN DIEGO CA                     184984  11/25",-53.99,DEBIT_CARD,621.62,,
DEBIT,11/25/2016,"RALPHS    8657 VIL LA LA JOLLA CA            11/24",-13.43,DEBIT_CARD,675.61,,
